index,Name,Type,Distance [Mpc],Unnamed: 3,Ks,M_KsT,M_VT,(V-Ks)_0,(B-V)_0,log M_bulge [Msolar],M_BH (low - high) [Msolar],M_BH [Msolar * 10e6],sigma_e [km/s],Flags: M,Flags: C,Flags: M_BH,Source,l,b,RA,Dec
2,NGC 3379,E1,10.7,2.0,6.27,−23.88,−21.01,2.867,0.939,10.91±0.09,4.16(3.12−5.20)×10e8,416.0,206±10,1.0,1.0,1.0,van den Bosch +2010,233.490135,57.6328,161.957,12.5816
3,NGC 3377,E5,10.99,2.0,7.16,−23.06,−20.08,2.98,0.83,10.50±0.09,1.78(0.85−2.72)×10e8,178.0,145±7,1.0,0.0,1.0,Schulze+2011,231.178408,58.318103,161.927,13.9856
5,NGC 4473,E5,15.25,1.0,7.16,−23.77,−20.89,2.874,0.935,10.85±0.09,0.90(0.45−1.35)×10e8,90.0,190±9,1.0,0.0,1.0,Schulze+2011,281.617044,75.3987,187.454,13.4293
8,NGC 4649,E2,16.46,1.0,5.49,−25.61,−22.63,2.98,0.947,11.64±0.09,4.72(3.67−5.76)×10e9,4720.0,380±19,1.0,1.0,1.0,Shen+Gebhardt+2010,295.873609,74.317763,190.917,11.5526
11,NGC 4382,E2,17.88,1.0,5.76,−25.51,−22.53,2.98,0.863,11.51±0.09,1.30(0.00−22.4)×10e7,13.0,182±5,1.0,1.0,0.0,G¨ultekin+2011,267.711985,79.23722,186.35,18.1911
17,NGC 3607,E1,22.65,2.0,6.99,−24.79,−21.92,2.872,0.911,11.26±0.09,1.37(0.90−1.82)×10e8,137.0,229±11,1.0,1.0,0.0,G¨ultekin+2009b,230.599631,66.422343,169.228,18.0518
19,NGC 3608,E1,22.75,2.0,7.62,−24.17,−21.19,2.98,0.921,11.01±0.09,4.65(3.66−5.64)×10e8,465.0,182±9,1.0,1.0,1.0,Schulze+2011,230.402784,66.481179,169.246,18.1485
20,NGC 2778,E2,23.44,2.0,9.51,−22.34,−19.39,2.955,0.911,10.26±0.09,1.45(0.00−2.91)×10e7,14.5,175±8,1.0,0.0,1.0,Schulze+2011,189.1037617621993,43.0202275978036,138.102,35.0275
21,NGC 5576,E3,25.68,2.0,7.83,−24.23,−21.29,2.939,0.862,11.00±0.09,2.73(1.94−3.41)×10e8,273.0,183±9,1.0,1.0,0.0,G¨ultekin+2009b,348.729796,57.938383,215.265,3.27105
23,NGC 4291,E2,26.58,2.0,8.42,−23.72,−20.76,2.954,0.927,10.85±0.09,9.78(6.70−12.86)×10e8,978.0,242±12,1.0,1.0,1.0,Schulze+2011,125.554225,41.598336,185.074,75.371
26,NGC 1407,E0,29.0,2.0,6.46,−25.87,−22.89,2.98,0.969,11.74±0.09,4.65(4.24−5.38)×10e9,4650.0,276±2,1.0,1.0,1.0,Rusli+2013,209.636253,-50.383758,55.0496,-18.5804
28,NGC 4751,E6,32.81,2.0,8.24,−24.38,−21.22,3.158,0.983,11.16±0.09,2.44(2.07−2.56)×10e9,2440.0,355±14,1.0,0.0,1.0,Rusli+2013,303.2077484511546,20.2111219134314,193.211,-42.6599
32,NGC 3091,E3,53.02,9.0,8.09,−25.54,−22.56,2.98,0.962,11.61±0.09,3.72(3.21−3.83)×10e9,3720.0,297±12,1.0,1.0,1.0,Rusli+2013,256.755911,27.502931,150.059,-19.6365
35,NGC 2960,E2,67.1,9.0,9.78,−24.36,−21.30,3.068,0.88,11.06±0.09,1.08(1.03−1.12)×10e7,10.8,166±16,3.0,0.0,0.0,Kuo+2011,231.688883,38.767658,145.152,3.57693
36,NGC 7052,E3,70.4,9.0,8.57,−25.70,−22.86,2.841,0.86,11.61±0.10,3.96(2.40−6.72)×10e8,396.0,266±13,2.0,1.0,0.0,van der Marel+1998b,74.714727,-15.90293,319.638,26.4468
41,NGC 7768,E4,116.0,9.0,9.34,−26.00,−23.19,2.811,0.906,11.75±0.09,1.34(0.93−1.85)×10e9,1340.0,257±26,1.0,1.0,1.0,McConnell+2012,106.714887,-33.813232,357.744,27.1473
42,NGC 6086,E,138.0,9.0,9.97,−25.74,−22.84,2.884,0.965,11.69±0.09,3.74(2.59−5.50)×10e9,3740.0,318±2,1.0,1.0,1.0,McConnell+2011b,48.331114,46.006493,243.148,29.4848
